time,closedPnL,leverage,size,Date,timestamp,value,classification
2025-03-01 20:30:00,0.0,45.88,1113.51,2025-03-01,1740807000,20,Extreme Fear
2025-03-01 20:30:00,0.0,17.4,422.3,2025-03-01,1740807000,20,Extreme Fear
2025-03-01 20:30:00,0.0,37.09,900.17,2025-03-01,1740807000,20,Extreme Fear
2025-03-01 20:30:00,0.0,94.45,2292.3,2025-03-01,1740807000,20,Extreme Fear
2025-03-01 20:30:00,0.0,605.18,14687.72,2025-03-01,1740807000,20,Extreme Fear
2025-04-01 23:48:00,0.0,90.0,2128.95,2025-04-01,1743485400,34,Fear
2025-05-01 02:51:00,0.0,12.95,329.64,2025-05-01,1746077400,53,Neutral
2025-05-01 02:51:00,0.0,10.73,273.13,2025-05-01,1746077400,53,Neutral
2025-05-01 02:52:00,0.0,55.18,1404.61,2025-05-01,1746077400,53,Neutral
2025-05-01 02:52:00,0.0,0.18,4.58,2025-05-01,1746077400,53,Neutral
2025-05-01 02:52:00,0.0,10.96,278.99,2025-05-01,1746077400,53,Neutral
2025-05-01 02:52:00,0.0,0.35,8.91,2025-05-01,1746077400,53,Neutral
2025-05-01 02:52:00,0.0,33.21,845.36,2025-05-01,1746077400,53,Neutral
2025-05-01 02:53:00,0.0,776.44,19764.28,2025-05-01,1746077400,53,Neutral
2025-02-02 15:23:00,0.0,35065.0,425.06,2025-02-02,1738474200,60,Greed
2025-02-02 15:23:00,0.0,82506.0,1000.14,2025-02-02,1738474200,60,Greed
2025-02-02 15:23:00,0.0,682429.0,8272.4,2025-02-02,1738474200,60,Greed
2025-02-02 18:41:00,0.0,18.9,402.14,2025-02-02,1738474200,60,Greed
2025-02-02 18:41:00,0.0,24.8,527.67,2025-02-02,1738474200,60,Greed
2025-02-02 18:41:00,0.0,26.0,553.2,2025-02-02,1738474200,60,Greed
2025-02-02 18:41:00,0.0,23.6,502.14,2025-02-02,1738474200,60,Greed
2025-02-02 18:41:00,0.0,24.7,525.54,2025-02-02,1738474200,60,Greed
2025-02-02 18:41:00,0.0,27.3,580.86,2025-02-02,1738474200,60,Greed
2025-02-02 18:41:00,0.0,25.9,551.07,2025-02-02,1738474200,60,Greed
2025-02-02 18:41:00,0.0,42.4,902.14,2025-02-02,1738474200,60,Greed
2025-02-02 18:41:00,0.0,19.4,412.77,2025-02-02,1738474200,60,Greed
2025-02-02 18:41:00,0.0,8.3,176.6,2025-02-02,1738474200,60,Greed
2025-02-02 18:41:00,0.0,26.7,568.1,2025-02-02,1738474200,60,Greed
2025-02-02 18:41:00,0.0,88.0,1872.38,2025-02-02,1738474200,60,Greed
2025-02-02 18:41:00,0.0,112.0,2383.02,2025-02-02,1738474200,60,Greed
2025-04-02 03:36:00,0.0,4000.0,15000.0,2025-04-02,1743571800,44,Fear
2025-01-03 00:07:00,0.0,65631.0,524.72,2025-01-03,1735882200,74,Greed
2025-01-03 00:07:00,0.0,65632.0,524.73,2025-01-03,1735882200,74,Greed
2025-01-03 00:07:00,0.0,3105.0,24.82,2025-01-03,1735882200,74,Greed
2025-01-03 15:00:00,0.0,3098.0,734.23,2025-01-03,1735882200,74,Greed
